base	base_tr	variation	type	variant1	variant2	resp1	resp2	log_odds	derivational	nsyl	vowel	suffix	carrier_sentence	target_sentence
aglik	aglik	lakok/lakom	nonce word response	aglok	aglom	12	15	-0.2076393647782445	-lik	1	NA	NA	Te bizony sokat aglasz.	Én is sokat...
bejzik / bejezik	bejzik / bejezik	cselekszenek/cselekednek	nonce word response	bejzünk	bejezünk	13	14	-0.06899287148695143	-zik	1	NA	ünk	János imád bejezni, ezért sokat bejzik.	Mi ritkán...
bidem	bidem	hotelban/hotelben	nonce word response	bidemban	bidemben	1	25	-2.5649493574615367	NA	NA	e	ban	Ez itt egy bidem.	Ott vagyunk a...
bihánylik	bihá¥lik	lakok/lakom	nonce word response	bihánylok	bihánylom	21	5	1.2992829841302609	-lik	2	NA	NA	Te bizony sokat bihánylasz.	Én is sokat...
bingéj	bingéj	hotelban/hotelben	nonce word response	bingéjnak	bingéjnek	5	24	-1.4271163556401458	NA	NA	é	nak	Ez itt egy bingéj.	Elneveztem a kutyámat...
bivégszik	bivégßik	lakok/lakom	nonce word response	bivégszek	bivégszem	7	22	-1.0560526742493137	-szik	2	NA	NA	Te bizony sokat bivégszel.	Én is sokat...
bivejlik	bivejlik	lakok/lakom	nonce word response	bivejlek	bivejlem	18	8	0.7472144018302211	-lik	2	NA	NA	Te bizony sokat bivejlesz.	Én is sokat...
böjzik	böjzik	lakok/lakom	nonce word response	böjzök	böjzöm	14	12	0.14310084364067324	-zik	1	NA	NA	Te bizony sokat böjzöl.	Én is sokat...
bölszik	bölßik	lakok/lakom	nonce word response	bölszök	bölszöm	16	11	0.3483066942682158	-szik	1	NA	NA	Te bizony sokat bölszöl.	Én is sokat...
bötőrzik / bötőrözik	bötőrzik / bötőrözik	cselekszenek/cselekednek	nonce word response	bötőrzünk	bötőrözünk	16	11	0.3483066942682158	-zik	2	NA	ünk	János imád bötőrözni, ezért sokat bötőrzik.	Mi ritkán...
brágaklik	brágaklik	lakok/lakom	nonce word response	brágaklok	brágaklom	12	17	-0.325422400434628	-lik	2	NA	NA	Te bizony sokat brágaklasz.	Én is sokat...
brágéd	brágéd	hotelban/hotelben	nonce word response	brágédnak	brágédnek	14	15	-0.06453852113757118	NA	NA	é	nak	Ez itt egy brágéd.	Elneveztem a kutyámat...
brálamlik / brálamozik	brálamlik / brálamozik	cselekszenek/cselekednek	nonce word response	brálamlanak	brálamoznak	16	10	0.4353180712578455	-lik	2	NA	nek	János imád brálamozni, ezért sokat brálamlik.	Ők ritkán...
bralkép	bralkép	hotelban/hotelben	nonce word response	bralképban	bralképben	6	21	-1.1451323043030026	NA	NA	é	ban	Ez itt egy bralkép.	Ott vagyunk a...
branylik / branyozik	bra¥lik / bra¥ozik	cselekszenek/cselekednek	nonce word response	branylanak	branyoznak	17	12	0.32542240043462795	-lik	1	NA	nek	János imád branyozni, ezért sokat branylik.	Ők ritkán...
brarlik	brarlik	lakok/lakom	nonce word response	brarlok	brarlom	21	6	1.1451323043030026	-lik	1	NA	NA	Te bizony sokat brarlasz.	Én is sokat...
brárlik / brározik	brárlik / brározik	cselekszenek/cselekednek	nonce word response	brárlanak	brároznak	14	12	0.14310084364067324	-lik	1	NA	nek	János imád brározni, ezért sokat brárlik.	Ők ritkán...
braszenc	braßenc	hotelban/hotelben	nonce word response	braszencnál	braszencnél	8	18	-0.7472144018302211	NA	NA	e	nál	Ez itt egy braszenc.	Nincs is jobb egy jó...
bratárzik / bratározik	bratárzik / bratározik	cselekszenek/cselekednek	nonce word response	bratárzanak	bratároznak	5	21	-1.2992829841302609	-zik	2	NA	nek	János imád bratározni, ezért sokat bratárzik.	Ők ritkán...
bregzik / bregezik	bregzik / bregezik	cselekszenek/cselekednek	nonce word response	bregzünk	bregezünk	17	10	0.49247648509779424	-zik	1	NA	ünk	János imád bregezni, ezért sokat bregzik.	Mi ritkán...
breslik / bresezik	breslik / bresezik	cselekszenek/cselekednek	nonce word response	breslenek	breseznek	14	13	0.06899287148695142	-lik	1	NA	nek	János imád bresezni, ezért sokat breslik.	Ők ritkán...
bribaslik / bribasozik	bribaslik / bribasozik	cselekszenek/cselekednek	nonce word response	bribaslanak	bribasoznak	11	16	-0.3483066942682157	-lik	2	NA	nek	János imád bribasozni, ezért sokat bribaslik.	Ők ritkán...
bribékszik / bribékedik	bribékßik / bribékedik	cselekszenek/cselekednek	nonce word response	bribékszetek	bribékedtek	13	16	-0.1941560144409575	-szik	2	NA	tek	János imád bribékedni, ezért sokat bribékszik.	Ti ritkán...
brigeszt	brigeßt	hotelban/hotelben	nonce word response	brigesztnak	brigesztnek	1	26	-2.6026896854443837	NA	NA	e	nak	Ez itt egy brigeszt.	Elneveztem a kutyámat...
brilegzik / brilegezik	brilegzik / brilegezik	cselekszenek/cselekednek	nonce word response	brilegzünk	brilegezünk	15	11	0.28768207245178085	-zik	2	NA	ünk	János imád brilegezni, ezért sokat brilegzik.	Mi ritkán...
brindez	brindez	hotelban/hotelben	nonce word response	brindeznak	brindeznek	1	25	-2.5649493574615367	NA	NA	e	nak	Ez itt egy brindez.	Elneveztem a kutyámat...
briskéd	briskéd	hotelban/hotelben	nonce word response	briskédnál	briskédnél	3	23	-1.791759469228055	NA	NA	é	nál	Ez itt egy briskéd.	Nincs is jobb egy jó...
briváglik / brivágozik	briváglik / brivágozik	cselekszenek/cselekednek	nonce word response	briváglanak	brivágoznak	11	15	-0.2876820724517809	-lik	2	NA	nek	János imád brivágozni, ezért sokat briváglik.	Ők ritkán...
brivaklik / brivakozik	brivaklik / brivakozik	cselekszenek/cselekednek	nonce word response	brivaklotok	brivakoztok	12	15	-0.2076393647782445	-lik	2	NA	tek	János imád brivakozni, ezért sokat brivaklik.	Ti ritkán...
brivegzik	brivegzik	lakok/lakom	nonce word response	brivegzek	brivegzem	8	21	-0.8938178760220964	-zik	2	NA	NA	Te bizony sokat brivegzel.	Én is sokat...
